饥渴	jike
安慰	aw|anww|anw
爱惜	ax|aixi
安保	ab|anbc
安分	af|anff
拗口	ak|aokz
按理	al
黯然	ar
暗算	as|ansr|ans
凹凸	at|aotu
安逸	ay|anyi
暗自	az
暧昧	am|aimw
挨饿	ae|aiee
阿爸	aaba|aab
嗷嗷待哺	aadb
阿哥	aage|aag
啊哈	aaha|aah
安安静静	aajj
阿拉	aala|aal
阿妹	aamw|aam
阿妈	aama
阿曼	aamj
阿门	aamf
阿婆	aapo|aap
矮矮胖胖	aapp
安安全全	aaqq
AA制	aavi|aav
安安稳稳	aaww
阿姨	aayi|aay
啊呀	aaya
啊哟	aayo
安安心心	aaxx
腌臜	aaza|aaz
爱不爱	abai|aba
按兵不动	abbd
哀兵必胜	abbu
安邦定国	abdg
安步当车	abdi
阿鼻地狱	abdy
熬不过	abgo|abg
阿布哈兹	abhz
矮半截	abjp|abj
按部就班	abjb
阿波罗	ablo|abl
爱别离苦	ablk
鞍不离马	ablm
爱不释手	abuu
熬不住	abvu|abv
阿布扎比	abvb
爱才若渴	acrk
爱财如命	acrm
暗藏杀机	acuj
暗藏玄机	acxj
安道尔	ader|ade
暗度陈仓	adic
按道理	adl
奥地利	adli
澳大利亚	adly
安度晚年	adwn
阿尔巴尼亚	aeby|aeb
阿尔法	aefa|aef
阿尔及利亚	aejy|aej
阿尔及尔	aeje
爱尔兰	aelj|ael
埃菲尔铁塔	afet|afe
阿富汗	afhj|afh
阿凡提	afti|aft
安分守己	afuj
爱岗敬业	agjy
安哥拉	agla|agl
阿根廷	agtk|agt
熬更守夜	aguy
爱国者	agve|agv
爱国主义	agvy
哀鸿遍野	ahby
昂起	ahqi|ahq
盎然	ahrj|ahr
安好如初	ahri
盎司	ahsi|ahs
安徽省	ahug|ahu
昂首	ahuz
昂着	ahve
昂扬	ahyh
肮脏	ahzh|ahz
矮矮	aiai|aia
癌变	aibm
爱才	aicd
挨打	aida|aid
哀悼	aidc
爱戴	aidd
挨罚	aifa
爱抚	aifu
爱妃	aifw
爱国	aigo|aig|ahg
哀告	aigc
挨个	aige
爱岗	aigh
爱好	aihc|aih
爱河	aihe
爱恨	aihf
爱火	aiho
爱护	aihu
哀愁	aiiz|aii
爱巢	aiic
爱称	aiig
爱吃	aiii
挨近	aijb
埃及	aiji
爱将	aijl
爱看	aikj
爱哭	aiku
艾灸	aijq
爱恋	ailm
爱侣	ailv
爱慕	aimu|aim
挨骂	aima
哀鸣	aimk
爱民	aimb
矮胖	aiph
爱情	aiqk|aiq
矮墙	aiql
哀切	aiqp
哀求	aiqq
爱人	airf|air
爱死	aisi
挨踢	aiti
哀叹	aitj
爱听	aitk
哀痛	aits
爱徒	aitu
爱神	aiuf
爱上	aiuh
碍事	aiui
碍手	aiuz
挨着	aive|aiv
癌症	aivg
爱玩	aiwj
爱心	aixb|aix
矮小	aixn
暗潮汹涌	aixy
哎呀	aiya
爱意	aiyi
碍眼	aiyj
哎哟	aiyo
哀怨	aiyr
爱用	aiys
哀乐	aiyt
碍于	aiyu
艾叶	aiye
矮子	aizi|aiz
爱憎	aizg
阿昌族	aizu
挨揍	aizz
挨家挨户	ajah
挨肩擦背	ajcb
安静了	ajle|ajl
安家落户	ajlh
安居乐业	ajly
阿基米德	ajmd
暗箭难防	ajnf
氨基酸	ajsr|ajs
暗箭伤人	ajur
爱看不看	akbk
阿拉伯	albo|alb
阿里巴巴	albb
爱理不理	albl
阿拉伯联合酋长国	albg
阿拉伯数字	albz
阿鲁巴	alba
阿拉丁	aldk|ald
按劳分配	alfp
安理会	alhv|alh
奥林匹克	alpk
阿联酋	alqq|alq
按劳取酬	alqi
安乐死	alsi|als
按理说	aluo|alu
阿里山	aluj
安乐窝	alwo|alw
阿猫阿狗	amag
哀莫大于心死	amds|amd
鞍马劳顿	amld
爱莫能助	amnv
爱民如子	amrz
阿姆斯特丹	amsd|ams
爱美之心	amvx
奥妙无穷	amwq
安眠药	amyc|amy
爱面子	amzi|amz
暗暗	anan
案板	anbj
岸边	anbm
按捺不住	anbv
懊恼不已	anby
暗藏	anch
按此	anci
暗道	andc
暗地	andi
暗淡	andj
安定	andk
安度	andu
安顿	andy
案发	anfa
暗讽	anfg
安放	anfh
案犯	anfj
安抚	anfu
暗格	ange
暗沟	angz
暗号	anhc
暗害	anhd
暗合	anhe
暗含	anhj
暗黄	anhl
暗红	anhs
安徽	anhv
暗黑	anhw
安插	ania|ani
暗潮	anic
暗娼	anih
暗疮	anil
暗处	aniu
鹌鹑	aniy
按季	anji
案件	anjm
暗礁	anjn
按揭	anjp
案卷	anjr
安居	anju
安家	anjx
安康	ankh
暗亏	ankv
案例	anli|anl
安拉	anla
安乐	anle
按铃	anlk
暗恋	anlm
暗流	anlq
暗绿	anlv
安民	anmb
鞍马	anma
暗门	anmf
安眠	anmm
按摩	anmo
按钮	annq|ann
按捺	anna
安能	anng
安宁	annk
按年	annm
安培	anpw
安寝	anqb
按期	anqi
案情	anqk
按日	anri
安然	anrj
按揉	anrz
暗锁	anso
安泰	antd
暗探	antj
安妥	anto
案头	antz
暗示	anui|anu
暗杀	anua
暗哨	anuc
鞍山	anuj
安设	anue
安神	anuf
安生	anug
岸上	anuh
按说	anuo
谙熟	anuu
安睡	anuv
安装	anvl|anv|a
按着	anve
安置	anvi
安卓	anvo
暗中	anvs
按住	anvu
安稳	anwf
安心	anxb|anx
安息	anxi
安详	anxl
暗线	anxm
暗笑	anxn
按下	anxx
按压	anya
暗夜	anye
暗影	anyk
按月	anyt
暗语	anyu
案子	anzi|anz
安葬	anzh
安坐	anzo
嗷嗷	aoao
傲岸	aoan
凹槽	aocc|aoc
熬到	aodc
奥迪	aodi
熬过	aogo
傲骨	aogu
懊悔	aohv|aoh
凹痕	aohf
熬成	aoig|aoi
傲慢	aomj|aom
澳门	aomf
奥秘	aomi
奥妙	aomn
懊恼	aonc
傲气	aoqi|aoq
傲人	aorf
懊丧	aosh|aos
熬汤	aoth
傲视	aoui|aou
奥数	aouu
澳洲	aovz|aov
鏖战	aovj
熬制	aovi
熬煮	aovu
翱翔	aoxl
凹陷	aoxm
熬药	aoyc
熬夜	aoye
奥运	aoyy
奥义	aoyi
澳元	aoyr
遨游	aoyz
凹下	aoxx
安贫乐道	apld
安全第一	aqdy
爱琴海	aqhd|aqh
安全感	aqgj|aqg
安全局	aqju|aqj
鞍前马后	aqmh
爱钱如命	aqrm
爱情片	aqpm|aqp
傲然挺立	artl
安如泰山	artu
黯然失色	arus
黯然神伤	aruu
安然无恙	arwy
黯然销魂	arxh
傲然屹立	aryl
阿塞拜疆	asbj
埃塞俄比亚	asey|ase
爱斯基摩	asjm
奥斯卡	aska|ask
奥斯陆	aslu|asl
阿司匹林	aspl
暗送秋波	asqb
凹凸不平	atbp
暗通款曲	atkq
凹透镜	atjk|atj
按图索骥	atsj
安徒生	atug|atu
哀痛欲绝	atyj
碍手碍脚	auaj
爱说不说	aubu
昂首阔步	aukb
安身立命	aulm
阿诗玛	auma|aum
爱沙尼亚	auny
傲视群雄	auqx
昂首挺胸	autx
唉声叹气	autq
安身之地	auvd
安史之乱	auvl
安身之处	auvi
安装版	avbj|avb
安枕而卧	avew
安知非福	avff
暗中摸索	avms
安之若素	avrs
安枕无忧	avwy
爱之欲其生	avyu|avy
奥委会	awhv|awh
爱屋及乌	awjw
暗无天日	awtr
爱信不信	axbx
暗箱操作	axcz
按需分配	axfp
按下葫芦起来瓢	axhp|axh
爱新觉罗	axjl
暗香疏影	axuy
爱惜羽毛	axym
奥运会	ayhv|ayh
爱因斯坦	ayst
安营扎寨	ayvv
安于现状	ayxv
艾滋病	azbk|azb
爱憎分明	azfm
腌臜泼才	azpc
不	b|bua|buad
吧	bak
部	bu
报	bc
本	bf|bfa|bfaa
备	bww|bwwt
北	bwl|bwlb
宝	bcby
保	bcr|bcrm
表	bn|bnfy
办	bj|bjld
并	bk
比	bi
步	buv|buvp
把	ba
标	bnm
被	bw|bwpy
别	bp|bpk
变	bmw|bmwy
百	bda|bdab
逼	bizt
必	bid
包	bcb|bcbs
布	buu
八	bap|bapn
便	bmr|bmrg|pmrg
版	bjp|bjpy
边	bm|bmzl
病	bkb|bkbb
白	bd|bdpo
巴	bav|basl|bavv
半	bjd
班	bjw
波	bod|body
编	bms
兵	bkq|bkqb
补	bup
帮	bh|bhfj
币	bip|bipj
笔	biv
博	bou
般	bjv
倍	bwr|bwrk
播	bof|boft
遍	bmz
板	bjm
毕	bibu
败	bdk|bdkw
秘	bihb|mih|mihb
宾	bbb|bbbb
背	bwlo
摆	bdf|bdfs
冰	bkd
避	biz
暴	bco|puou
闭	bim
笨	bfv
奔	bfd|bfdc
杯	bwm
颁	bjb|bjbr
伴	bjr|bjrb
勃	boul
拨	bo|bofd
拔	baf
胞	bcos
贝	bwkr
薄	bcc|boc|bccc|bocc
邦	bhf|bhfe
伯	bdrb|bor|borb
爆	bch
滨	bb|bbdb
玻	bow|bowy
饱	bcu|bcus
壁	biu|biut
捕	buf
抱	bcf|bcfs
拜	bdu
辈	bwfi
搬	bjf
搏	bofc
悲	bwf|bwfx
堡	bcrt|bur|burt|purt
斌	bbw|bbwv
榜	bhmf
碑	bwu
坝	bat|batr
辩	bml
爸	bab
屏	bkuk|pku|pkuk
柏	bdm|bom|bdmb|bomb
泊	bodb|podb
舶	bovb
埔	butf|put|putf
霸	bay|bayo
弊	bidc
彼	bii|biiy
罢	bas|bass
碧	biw
剥	bce|boe|bced|boed
渤	bodl
饼	bku
彬	bbm|bbmp
炳	bkh|bkhb
斑	bjww
鼻	bizl
鲍	bca|bcas
鞭	bmg
棒	bhm
臂	biuo|bwuo
扮	bjfd
濒	bbdr
秉	bkp|bkpn
卜	bol|bul
甭	bgb|bgby
泵	bgu|bguu
贬	bmk|bmkf
彪	bnh|bnhp
膀	bho|bhof|phof
丙	bka
埠	but
驳	bomx
镑	bhj|bhjf
绑	bhs|bhse
曝	bcou|puo
傍	bhr
芭	bac|bacb
崩	bge|bgeo
磅	bhu|phu|phuf
簿	bovc|buvc
鳖	bpda
哺	buk
怖	bux|buxj
蔽	bic|bicw
匾	bmkc
跋	baz|bazd
苯	bfc|bfcb
葆	bccm
瀑	bcd|pud
豹	bcv
扒	bafb|paf|pafb
殡	bbd
叭	bakb
卑	bwp|bwpu
脖	booz
泌	bidb|mid|midb
蚌	bgi|bhi|bgif
悖	bwx
庇	big
拌	bjfb
扁	bmh|pmh
刨	bcbd|pcb|pcbd
褒	bcw|bcwy
扳	bjfy
痹	bibl
缤	bbs|bbsb
瓣	bjl
膊	boo|booc
惫	bwwx
摒	bkf|bkfk
毙	bib
憋	bpd|bpdx
蹦	bg|bgzo
坂	bjt
柄	bkm
簸	bovy
弼	bigg
菠	bocy
靶	bag|bagb
阪	bje
礴	bouc
迸	bgz|bgzk
绊	bjs|bjsb
绷	bgs|bgso
谤	bhy|bhyf
雹	bcy|bcys
佰	bdr
疤	babb
箔	bov
蓓	bwc|bwck
匕	bipv
鄙	bike
炮	bchs|pch
陛	bie|biet
鬓	bba|bbab
卞	bmdx
槟	bbmb|bkm
镖	bnj
梆	bhme
孢	bczs
裨	bipu|pipu
掰	bduu
铂	boj
蕃	boct|fjct
汴	bmd|bmdb
苞	bccs
裱	bnp|bnpy
陂	bwe|bwey|pie|poe|piey|poey
煲	bcrh
笆	bavb
钚	buj
辫	bmlu|bmls
亳	bowq
贲	biur|bfur
耙	bal|pal|palb
钵	bojb
浜	bhd|bhdb
帛	bob|bobj
敝	bidw
鲅	baa|baad
钡	bwj|bwjr
狈	bwq
瘪	bpb|bpbb
呗	bdkr|bwk
砭	bmu
禀	bkw|bkwx
膘	bno|bnox
飙	bnq|bnqx
蓖	bicb
粑	bam
岜	bae|baeb
焙	bwh|bwhk
擘	bouu
褓	bcp
镳	bnjh
饽	bouz
苄	bmc|bmcb
摈	bbf|bbfb
跛	boz|bozy
灞	bad|bado
膑	bbo|bbob
吡	bikb|pikb
蝙	bmic
捭	bdfu
篦	bivb
嘣	bgk|bgko
钹	bojd
俾	bir
铋	bij
稗	bdh
钣	bjjy
蒡	bhc|bhcf
碚	bwuk
钯	baj|bajb
瘢	bjby
婊	bnn
蹩	bpdr
毖	bibb
筚	bivu
趵	bcz
荸	bicz
荜	bicu
婢	bin|binu
檗	boum
哔	bik|biku
卟	bukb
鳊	bma|bmac
邴	bkbe
骠	bnmx|pnmx
弁	bmsc
玢	bbwd|ffw
锛	bfj|bfjc
濞	bidl
镔	bbj
逋	buz|buzf
捌	bafd
秕	bih
愎	bix
畚	bfs
妣	binb
飑	bnjs
豳	bbe|bbeu
髌	bbg|bbgb
杓	bnmu|ucmu
甏	bguw
箅	bivl
傧	bbr|bbrb
啵	bok|boky
鹁	boun
晡	buo|buof
庳	bwgu
髀	bigu
鞴	bwgy
畀	bit|bitl
滗	bidm
褊	bmp
菝	bacd
魃	bagd
癍	bjbw
坌	bfb|bfbt
夯	bfdl|hhd|hhdl
狴	biq|biqt
嬖	biun
碥	bmuc
鳔	bna|bnax
醭	buyn
鐾	bwuj
忭	bmx
瘭	bnb|bnbx
踣	bozk
镚	bgj|bgjo
祊	bgp|bgpf
鲌	boa|boab
朳	bamb
犇	bfn
妭	ban|band
胈	bao|baod
羓	bayb
鲃	baab
邠	bbbe
栟	bfm
琫	bgw|bgwl
𠳐	bhk
玤	bhw
棓	bhmk
塝	bht|bhtf
搒	bhff|pgff
赑	bikr
坒	bibt
佖	birb
邲	bibe
诐	biy
珌	biwb
觱	bixy|biwy|biay
鲾	bia|biat
柈	bjmb
昄	bjoy|bjo
湴	bjdy
靽	bjgb
昺	bko|bkob
蛃	bki|bkib
抃	bmf|bmfb
昪	bmo|bmoc
萹	bmcc
俵	bnr|bnry
脿	bnoy
蔈	bnc|bncx
熛	bnhx
儦	bnrh
藨	bnch
僰	boar
砵	boub
哱	bokz
嶓	boet
镈	bojc
馞	boh|bohz
蔀	buc
椑	bwmu
糒	bwmy
𬭛	bojy
𬷕	bufn
欂	bomc
比较	bijn|b
必须	bx|bixu
不同	bt|buts
保证	bv|bcvg
并且	bq|bkqp
必要	by|biyc
不再	bz
比赛	bs|bisd
本来	bl|bfld|bfl
不然	br|burj
不饿	be|buee|bue
爸爸	baba
八宝	babc
八百	babd
芭比	babi
把柄	babk
拔草	bacc
霸道	badc
拔掉	badn
巴豆	badz
北爱尔兰	bael
把风	bafg
八方	bafh
拔高	bagc
八个	bage
把关	bagr
罢工	bags
八股	bagu
八卦	bagx
扒光	bagl
疤痕	bahf|bah
拔河	bahe
跋扈	bahu
八荒	bahl
不安好心	bahx
拔出	baiu|bai
扒车	baie
八成	baig
靶场	baih
把持	baii
吧唧	baji
拔尖	bajm
八角	bajn
巴结	bajp
罢课	bake
把控	baks
扒拉	bala
巴林	balb
罢了	bale
巴黎	bali
八路	balu
芭蕾	balw
爸妈	bama
拔毛	bamc
把脉	bamd
把门	bamf
罢免	bamm
扒皮	bapi
不安全	baq
霸权	baqr
霸气	baqi
八千	baqm
罢赛	basd
八岁	basv
吧台	batd
八天	batm
拔腿	batv
跋涉	baue
八十	baui
巴蜀	bauu
把手	bauz
八折	bave
巴掌	bavh
霸占	bavj
霸主	bavu
把握	bawo|baw
把稳	bawf
霸王	bawh
把玩	bawj
靶心	baxb
巴西	baxi
八仙	baxm
罢休	baxq
拔下	baxx
八旬	baxy
拔牙	baya
霸业	baye
八一	bayi
八月	bayt
八字	bazi
保安族	bazu
并不比	bbbi
不卑不亢	bbbk
不比不知道	bbbd
办不到	bbdc
巴不得	bbde
百般刁难	bbdn
不必当真	bbdv
逼不得已	bbdy
巴巴多斯	bbds
缤纷	bbff
宾馆	bbgr
滨海	bbhd
滨河	bbhe
办不成	bbig|bbi
百步穿杨	bbiy
滨江	bbjl
鬓角	bbjn
比比皆是	bbju
步步惊心	bbjx
步步紧逼	bbjb
白白净净	bbjj
不包括	bbko|bbk
宾客	bbke
必不可少	bbku
八百里	bbl
濒临	bblb
宾利	bbli
冰冰凉凉	bbll
殡殓	bblm
巴比伦	bbly
便把令来行	bblx
鬓毛	bbmc
爸爸妈妈	bbmm
宾朋	bbpg
白白胖胖	bbpp
北半球	bbqq|bbq
摈弃	bbqi
兵败如山倒	bbrd
棒棒糖	bbth|bbt
蹦蹦跳跳	bbtt
并不是	bbui|bbu
并不是说	bbuu
比不上	bbuh
帮不上忙	bbum
八宝粥	bbvz|bbv
并不知道	bbvd
八拜之交	bbvj
宾主	bbvu
不辨真伪	bbvw
不白之冤	bbvy
被逼无奈	bbwn
北部湾	bbwj
濒危	bbww
白璧微瑕	bbwx
步步为营	bbwy
兵不血刃	bbxr
并不需要	bbxy
不必要	bbyc|bby
北冰洋	bbyh
彬彬有礼	bbyl
宾语	bbyu
兵不厌诈	bbyv
并不一定	bbyd
巴布亚新几内亚	bbyy
半辈子	bbzi|bbz
殡葬	bbzh
不必在意	bbzy
保安	bcan
宝宝	bcbc
保本	bcbf
包庇	bcbi
包办	bcbj
刨冰	bcbk
褒贬	bcbm
报表	bcbn
宝贝	bcbw
爆仓	bcch
饱餐	bccj
报错	bcco
保存	bccy
包菜	bccd
报答	bcda
报道	bcdc
保底	bcdi
保单	bcdj
保定	bcdk
宝典	bcdm
暴跌	bcdp
暴动	bcds
报毒	bcdu
报恩	bcen
不辞而别	bceb
爆发	bcfa
暴风	bcfg
包房	bcfh
报复	bcfu
报废	bcfw
不测风云	bcfy
报告	bcgc|bcg
宝盖	bcgd
饱嗝	bcge
包干	bcgj
曝光	bcgl
本草纲目	bcgm
包裹	bcgo
保管	bcgr
包公	bcgs
苞谷	bcgu
宝贵	bcgv
饱和	bche
抱恨	bchf
包含	bchj
包换	bchr
保护	bchu
包藏祸心	bchx
宝刹	bcia
爆炒	bcic
包车	bcie
包场	bcih
保持	bcii
爆出	bciu
报酬	bciz
抱紧	bcjb
不存芥蒂	bcjd
暴击	bcji
报警	bcjk
褒奖	bcjl
保健	bcjm
保洁	bcjp
保举	bcju
报价	bcjx
暴君	bcjy
包括	bcko|bck
报考	bckc
报刊	bckj
剥壳	bcke
暴恐	bcks
病从口入	bckr
病从口入，祸从口出	bcki
宝库	bcku
不错了	bcl
报了	bcle
爆冷	bclg
暴力	bcli
包揽	bclj
不辞劳苦	bclk
爆料	bcln
包罗	bclo
爆裂	bclp
保留	bclq
暴乱	bclr
暴露	bclu
堡垒	bclw
报名	bcmk
宝马	bcma
百辞莫辩	bcmb
保密	bcmi
饱满	bcmj
薄膜	bcmo
保姆	bcmu
胞妹	bcmw
保暖	bcnr|bcn
暴虐	bcnt
暴怒	bcnu
爆棚	bcpg
报盘	bcpj
报批	bcpi
包票	bcpn
薄片	bcpm
爆破	bcpo
包赔	bcpw
抱歉	bcqm|bcq
抱起	bcqi
报请	bcqk
保全	bcqr
抱屈	bcqu
保人	bcrf
包容	bcrs
报送	bcss|bcs
报丧	bcsh
暴死	bcsi
煲汤	bcth
宝塔	bcta
爆胎	bctd
报摊	bctj
报亭	bctk
暴跳	bctn
抱团	bctr
暴徒	bctu
包头	bctz
暴晒	bcud
报社	bcue
报审	bcuf
报上	bcuh
宝石	bcui
宝山	bcuj
抱残守缺	bcuq
报数	bcuu
报税	bcuv
保守	bcuz
爆炸	bcva
抱着	bcve
抱枕	bcvf
保障	bcvh
报纸	bcvi
报站	bcvj
包装	bcvl
保重	bcvs
抱住	bcvu
保准	bcvy
煲粥	bcvz
保温	bcwf
博茨瓦纳	bcwn
宝物	bcwu
包围	bcww
报信	bcxb
报喜	bcxi
暴行	bcxk
包厢	bcxl
保险	bcxm
报销	bcxn
保修	bcxq
胞兄	bcxs
暴雪	bcxt
包下	bcxx
龅牙	bcya
保养	bcyh
报以	bcyi
报应	bcyk
抱怨	bcyr
包月	bcyt
暴雨	bcyu
保佑	bcyz
包扎	bcza
暴躁	bczc
暴增	bczg
宝藏	bczh
包子	bczi
宝座	bczo
包租	bczu
不得不	bdb
百宝	bdbc
拜拜	bdbd
败笔	bdbi
白班	bdbj
百病	bdbk
宝刀不老	bdbl
百变	bdbm
拜别	bdbp
百毒不侵	bdbq
不得不低头	bdbt
摆布	bdbu
百倍	bdbw
不大不小	bdbx
百读不厌	bdby
白菜	bdcd|bdc
百草	bdcc
白醋	bdcu
不大对劲	bddj
拜倒	bddc
白带	bddd
白底	bddi
白丁	bddk
白点	bddm
摆动	bdds
不登大雅之堂	bddt
百度	bddu
不得而知	bdev
背道而驰	bdei
拔地而起	bdeq
白发	bdfa
百分	bdff
拜访	bdfh
白饭	bdfj
拜佛	bdfo
白费	bdfw
白癜风	bdfg
白干	bdgj|bdg
白宫	bdgs
白鸽	bdge
白光	bdgl
百官	bdgr
白果	bdgo
白骨	bdgu
摆好	bdhc
百合	bdhe
败坏	bdhk
百货	bdho
不得好死	bdhs
白虎	bdhu
拜会	bdhv
白话	bdhx
不动产	bdij|bdi
白痴	bdii
不到长城非好汉	bdih
百川	bdir
摆出	bdiu
不对劲	bdj
白金	bdjb
兵多将广	bdjg
败绩	bdji
白净	bdjk
摆件	bdjm
白酒	bdjq
白卷	bdjr
败局	bdju
败家	bdjx
败军	bdjy
不懂就问	bdjw
掰开	bdkd
百科	bdke
遍地开花	bdkh
不大可能	bdkn
不打诳语	bdky
不得了	bdln|bdl
背地里	bdli
白了	bdle
白领	bdlk
白脸	bdlm
败落	bdlo
白露	bdlu
败类	bdlw
白蜡	bdla
摆烂	bdlj
摆列	bdlp
不得了了	bdll
布达拉宫	bdlg
白马	bdma
白猫	bdmc
白忙	bdmh
百米	bdmi
摆满	bdmj
摆明	bdmk
白面	bdmm
白描	bdmn
白沫	bdmo
不达目的	bdmd
百年	bdnm
白嫩	bdnf
百鸟	bdnn
摆弄	bdns
表达能力	bdnl
摆平	bdpk|bdp
摆谱	bdpu
不定期	bdq
不得其法	bdqf
百强	bdql
不得其所	bdqs
北斗七星	bdqx
白人	bdrf
白日	bdri
不得人心	bdrx
白肉	bdrz
不动如山	bdru
不打算	bdsr|bds
白色	bdse
冰冻三尺	bdsi
冰冻三尺，非一日之寒	bdsh
白送	bdss
败诉	bdsu
百岁	bdsv
百态	bdtd
白糖	bdth
摆摊	bdtj
白天	bdtm
白条	bdtn
拜托	bdto
白兔	bdtu
败退	bdtv
白头	bdtz
不断提高	bdtg
拔得头筹	bdti
白纱	bdua
摆设	bdue
摆上	bduh
拜师	bdui
拜山	bduj
白说	bduo
不动声色	bdus
不得善终	bduv
拜寿	bduz
别当真	bdvf|bdv
百兆	bdvc
摆着	bdve
摆正	bdvg
败仗	bdvh
白纸	bdvi
白昼	bdvz
不懂装懂	bdvd
本单位	bdw
百万	bdwj
百味	bdww
拜望	bdwh
不倒翁	bdwg
白雾	bdwu
白袜	bdwa
宝刀未老	bdwl
北斗星	bdx
白皙	bdxi
百姓	bdxk
白线	bdxm
拜谢	bdxp
白雪	bdxt
拔刀相助	bdxv
不等于	bdy
白银	bdyb
白药	bdyc
白羊	bdyh
不得已	bdyi
白眼	bdyj
弊大于利	bdyl
百元	bdyr
白玉	bdyu
步调一致	bdyv
白云	bdyy
不答应	bdyk
半吊子	bdz
摆在	bdzd
白字	bdzi
白做	bdzo
白族	bdzu
不打自招	bdzv
败走	bdzz
避而不见	bebj
避而不谈	bebt
不二法门	befm
巴尔干	begj|beg
白俄罗斯	bels
布尔什维克	beuk|beu
不二之选	bevx
巴尔扎克	bevk
本案	bfan
不方便	bfbm
笨笨	bfbf
本表	bfbn
奔波	bfbo
本部	bfbu
百分百	bfbd
百分比	bfbi
百发百中	bfbv
本次	bfci
白发苍苍	bfcc
不复从前	bfcq
不复存在	bfcz
不负此生	bfcu
本当	bfdh
本地	bfdi
笨蛋	bfdj
百废待兴	bfdx
本分	bfff|bff
奔放	bffh
奔赴	bffu
本该	bfgd|bfg
本国	bfgo
百分号	bfhc|bfh
本行	bfhh
暴发户	bfhu
奔驰	bfii|bfi
本场	bfih
不费吹灰之力	bfil
奔出	bfiu
本金	bfjb
本季	bfji
本届	bfjp
本就	bfjq
百废俱兴	bfjx
本科	bfke|bfk
本刊	bfkj
白费口舌	bfku
本领	bflk
白费力气	bflq
本类	bflw
本轮	bfly
本名	bfmk
本门	bfmf
本能	bfng
本年	bfnm
笨鸟	bfnn
奔跑	bfpc|bfp
本票	bfpn
不服气	bfq
不分青红皂白	bfqb
本期	bfqi
本钱	bfqm
不乏其人	bfqr
本人	bfrf|bfr
本日	bfri
本色	bfse
奔丧	bfsh
不负所托	bfst
奔腾	bftg|bft
奔逃	bftc
本体	bfti
本田	bftm
本条	bftn
本土	bftu
悲愤填膺	bfty
比方说	bfuo|bfu
本身	bfuf
本省	bfug
本事	bfui
不负韶华	bfuh
百分之百	bfvb
本着	bfve
本质	bfvi
本站	bfvj
笨拙	bfvo
笨重	bfvs
不法之徒	bfvt
笨猪	bfvu
不负众望	bfvw
百分之一	bfvy
本周	bfvz
本文	bfwf|bfw
本无	bfwu
本位	bfww
不放心	bfx
本息	bfxi
白费心机	bfxj
本性	bfxk
本想	bfxl
本校	bfxn
不分轩轾	bfxv
不法行为	bfxw
暴风雨	bfy
本页	bfye
本意	bfyi
本应	bfyk
本源	bfyr
本月	bfyt
不费一兵一卒	bfyz
不负责	bfze|bfz
奔走	bfzz
本子	bfzi
不负责任	bfzr
不放在眼里	bfzl
半工半读	bgbd
不管不顾	bgbg
不干不净	bgbj
笔耕不辍	bgbi
包工包料	bgbl
蚌埠	bgbu
不敢当	bgdh|bgd
蹦跶	bgda
绷带	bgdd
蹦迪	bgdi
绷断	bgdr
不共戴天	bgdt
半个多世纪	bgdj
不过尔尔	bgee
迸发	bgfa
甭管	bggr|bgg
不敢苟同	bggt
崩坏	bghk|bgh
蹦床	bgil
白骨精	bgjk
