拆分：乛豕	彖
拆分：丶廾	弊
拆分：亠弓	弯
拆分：丨彐	归
拆分：木丿	彬
拆分：士丿	彭
拆分：丶丶	必
拆分：天⺗	忝
拆分：艹⺗	恭
拆分：非心	悲
拆分：一心	惠
拆分：忄夹	惬
拆分：忄亏	愕
拆分：艹⺗	慕
拆分：戊乛	成
拆分：爿戈	戕
拆分：戊小	戚
拆分：一戈	戛
拆分：扌卞	抃
拆分：扌丶	拔
拆分：龹手	拳
拆分：扌乛	挖
拆分：亠手	挛
拆分：扌一	捡
拆分：扌⺗	掭
拆分：扌豕	掾
拆分：扌女	揠
拆分：宀手	搴
拆分：扌乃	携
拆分：广手	摩
拆分：艹手	摹
拆分：扌毛	撬
拆分：扌𧘇	擐
拆分：尸手	擘
拆分：扌𧘇	攘
拆分：乛攵	收
拆分：束攵	敕
拆分：束正	整
拆分：口十	斝
拆分：十十	斡
拆分：八斤	斧
拆分：车斤	斩
拆分：斤虫	斶
拆分：勹日	旬
拆分：九日	旭
拆分：日廾	昪
拆分：亚日	晋
拆分：日丶	曦
拆分：日𧘇	曩
拆分：丨丿	曳
拆分：一一	本
拆分：九朩	杂
拆分：一乀	束
拆分：一乀	来
拆分：丨木	桌
拆分：木凡	梵
拆分：木一	检
拆分：木乛	棽
拆分：木豕	椽
拆分：木小	槭
拆分：木亏	樗
拆分：木毛	橇
拆分：一木	橐
拆分：斤人	欣
拆分：一止	武
拆分：丿母	每
拆分：士毋	毐
拆分：毛牛	毪
拆分：亠毛	毫
拆分：⺌毛	氅
拆分：目毛	氍
拆分：丨乀	水
拆分：氵丏	沔
拆分：氵丨	洚
拆分：氵乛	涄
拆分：氵乀	涿
拆分：氵丨	淠
拆分：氵⺗	添
拆分：氵丨	渊
拆分：氵廾	渰
拆分：氵少	渺
拆分：氵豕	溷
拆分：氵丿	漻
拆分：氵一	澧
拆分：氵𧘇	澴
拆分：氵豕	澽
拆分：片木	牒
拆分：牛丶	牻
拆分：犭一	猃
拆分：王王	班
拆分：王乀	琢
拆分：王豕	瑑
拆分：王丿	璆
拆分：王豕	璩
拆分：立十	瓣
拆分：亠瓜	瓤
拆分：西瓦	甄
拆分：尸瓦	甓
拆分：虍瓦	甗
拆分：更生	甦
拆分：丨一	由
拆分：丨丨	甲
拆分：丨丨	申
拆分：勹田	甸
拆分：乛田	甾
拆分：幺田	畿
拆分：疒丨	痹
拆分：疒乀	瘃
拆分：疒丿	瘳
拆分：乛天	癸
拆分：禾皿	盉
拆分：目丏	眄
拆分：龵目	看
拆分：目一	睑
拆分：丿干	睾
拆分：丨目	睿
拆分：二小	示
拆分：礻丶	祓
拆分：礻𧘇	禳
拆分：丨丶	禺
拆分：丿木	禾
拆分：禾臼	稻
拆分：宀九	究
拆分：宀弓	穹
拆分：宀牙	穿
拆分：宀屯	窀
拆分：宀瓜	窊
拆分：宀乛	窍
拆分：宀丶	窕
拆分：宀串	窜
拆分：宀瓜	窳
拆分：𥫗口	笸
拆分：𥫗一	签
拆分：𥫗丨	箅
拆分：𥫗豕	篆
拆分：米乛	粼
拆分：匚小	繄
拆分：纟丶	绂
拆分：纟乛	继
拆分：纟豕	缘
拆分：纟丿	缪
拆分：纟𧘇	缳
拆分：尸羊	羼
拆分：习廾	羿
拆分：匚习	翳
拆分：耂毛	耄
拆分：耳乛	耽
拆分：匕聿	肄
拆分：户聿	肇
拆分：乛月	胥
拆分：月一	脸
拆分：月亏	腭
拆分：戊臣	臧
拆分：一土	至
拆分：臼廾	舁
拆分：人丨	舒
拆分：千⺗	舔
拆分：弗巴	艴
拆分：艹卞	苄
拆分：艹一	莶
拆分：艹亏	萼
拆分：艹乀	蒙
拆分：艹甫	蒱
拆分：艹金	蓥
拆分：艹丿	蓼
拆分：艹乛	蔼
拆分：艹一	蕺
拆分：艹韭	薤
拆分：艹臣	藏
拆分：虍心	虑
拆分：乛虫	虱
拆分：兀虫	虺
拆分：乛虫	蚩
拆分：乛虫	蛋
拆分：乛虫	蠡
拆分：一虫	蠹
拆分：丿皿	血
拆分：彳亍	行
拆分：彳亍	衍
拆分：彳亍	衎
拆分：彳亍	衒
拆分：彳亍	衔
拆分：彳亍	街
拆分：彳亍	衙
拆分：彳亍	衠
拆分：彳亍	衡
拆分：亠𧘇	衷
拆分：亠𧘇	袤
拆分：亠𧘇	裒
拆分：衤一	裣
拆分：亠𧘇	裹
拆分：亠𧘇	褒
拆分：亠𧘇	襄
拆分：衤柬	襕
拆分：勹口	訇
拆分：讠乀	诼
拆分：讠丿	谬
拆分：龹豕	豢
拆分：亠豕	豪
拆分：豸儿	貌
拆分：丿人	质
拆分：毌人	贯
拆分：弗人	费
拆分：𧾷丶	跋
拆分：车乛	辄
拆分：立十	辨
拆分：辶十	迅
拆分：辶田	逼
拆分：辶又	遐
拆分：辶冉	遘
拆分：辶豕	遽
拆分：辶儿	邈
拆分：乛巴	邕
拆分：牙阝	邪
拆分：匚阝	郾
拆分：丷酉	酋
拆分：酉丿	醪
拆分：酉一	醴
拆分：酉豕	醵
拆分：丿由	釉
拆分：里丨	野
拆分：人一	金
拆分：龴金	鍪
拆分：龶金	鏊
拆分：广金	鏖
拆分：尸金	鐾
拆分：钅口	钷
拆分：钅亏	锷
拆分：钅丿	镠
拆分：钅𧘇	镮
拆分：钅𧘇	镶
拆分：阝乛	陋
拆分：阝丨	降
拆分：阝一	险
拆分：阝⺗	隳
拆分：亻乃	隽
拆分：雨乛	霭
拆分：革斤	靳
拆分：十韦	韩
拆分：日韦	韪
拆分：丿人	须
拆分：斤人	颀
拆分：禾夂	馥
拆分：马乛	骋
拆分：马一	验
拆分：马𧘇	骧
拆分：骨丿	髎
拆分：一兀	髡
拆分：鬼丶	魃
拆分：鱼丶	鲅
拆分：鱼亏	鳄
拆分：鱼一	鳢
拆分：牙鸟	鸦
拆分：禾氺	黍
拆分：禾氺	黎
拆分：禾口	黏
拆分：禾黑	黧
拆分：业丶	黹
拆分：才乛	鼒
拆分：臼乛	鼠
拆分：自丨	鼻
拆分：一丶	东
拆分：丿一	乍
拆分：千匕	乖
拆分：千乀	乘
拆分：二厶	云
拆分：亠乂	交
拆分：亠人	亥
拆分：亠子	享
拆分：亠丁	亭
拆分：亠几	亮
拆分：亠七	亳
拆分：亠丨	亸
拆分：亻卩	仰
拆分：亻巾	佩
拆分：亻七	侂
拆分：亻牛	侔
拆分：亻夂	俊
拆分：人且	俎
拆分：人刂	俞
拆分：亻矢	俟
拆分：亻电	俺
拆分：亻口	倍
拆分：亻又	假
拆分：亻寸	傅
拆分：亻攵	傲
拆分：亻小	僚
拆分：亻日	僭
拆分：亻十	僻
拆分：亻口	儋
拆分：亻田	儡
拆分：亻灬	儦
拆分：二儿	元
拆分：𠂒儿	先
拆分：⺌兀	光
拆分：十儿	克
拆分：丷儿	兑
拆分：亠儿	兖
拆分：十儿	兢
拆分：八厶	公
拆分：丷三	兰
拆分：艹八	共
拆分：丷天	关
拆分：𭕄八	兴
拆分：丷幺	兹
拆分：丷口	兽
拆分：丨八	冀
拆分：丨丶	内
拆分：丨一	冉
拆分：丿一	册
拆分：冖八	冥
拆分：冫夬	决
拆分：冫夂	凌
拆分：冫小	凛
拆分：山几	凯
拆分：乛凵	出
拆分：乛丿	刀
拆分：八刀	分
拆分：七刀	切
拆分：戈刂	划
拆分：月刂	刖
拆分：文刂	刘
拆分：冂刂	则
拆分：龹刀	券
拆分：山刂	剀
拆分：丷刂	前
拆分：口刂	剐
拆分：人刂	剑
拆分：立刂	剖
拆分：又刂	剟
拆分：厂刂	劂
拆分：尸刀	劈
拆分：艹刂	劐
拆分：又力	劝
拆分：工力	功
拆分：力口	加
拆分：二力	动
拆分：艹力	劳
拆分：十力	勃
拆分：革力	勒
拆分：艹力	募
拆分：力心	勰
拆分：大巳	匏
拆分：日匕	匙
拆分：亠十	卒
拆分：十干	南
拆分：十寸	博
拆分：龹乛	卷
拆分：厂犬	厌
拆分：厂人	厥
拆分：乛乀	又
拆分：𠂇又	友
拆分：丿又	受
拆分：亠又	变
拆分：丿又	叟
拆分：刀口	召
拆分：丨乀	史
拆分：𠂇口	右
拆分：士口	吉
拆分：口七	吒
拆分：文口	吝
拆分：人口	含
拆分：户口	启
拆分：五口	吾
拆分：𠂒口	告
拆分：冂口	周
拆分：口几	咒
拆分：十口	哉
拆分：口乀	哌
拆分：口牛	哞
拆分：口犬	哭
拆分：口子	哱
拆分：口夂	唆
拆分：厂口	唇
拆分：口矢	唉
拆分：亻口	售
拆分：口电	唵
拆分：口缶	啕
拆分：口又	啜
拆分：口刂	喇
拆分：口木	喋
拆分：𭕄口	喾
拆分：口月	嗍
拆分：口皿	嗑
拆分：口口	嗒
拆分：口又	嗖
拆分：口日	嗜
拆分：口口	嗣
拆分：口十	嗥
拆分：口攵	嗷
拆分：口人	嗽
拆分：口口	嘀
拆分：口小	嘹
拆分：口人	噘
拆分：口口	器
拆分：口人	噬
拆分：口十	噼
拆分：口又	嚄
拆分：口口	嚆
拆分：口口	嚚
拆分：口口	嚣
拆分：口寸	嚼
拆分：囗儿	四
拆分：又土	圣
拆分：𠂇土	在
拆分：土夬	块
拆分：土口	坰
拆分：龙土	垄
拆分：厶土	垒
拆分：艮土	垦
拆分：土己	垲
拆分：土矢	埃
拆分：土寸	埒
拆分：土内	埚
拆分：土十	埠
拆分：土电	埯
拆分：土口	培
拆分：土巾	埽
拆分：阝土	堕
拆分：土土	堙
拆分：土木	堞
拆分：土	堲
拆分：土正	堽
拆分：丷土	塑
拆分：土口	塔
拆分：宀土	塞
拆分：艹土	墓
拆分：尸土	壁
拆分：𠂊夂	夐
拆分：勹夕	够
拆分：一乀	夫
拆分：大寸	夺
拆分：丷大	奠
拆分：乛一	女
拆分：立女	妾
拆分：𦍌女	姜
拆分：米女	娄
拆分：女月	娟
拆分：女内	娲
拆分：冂女	婴
拆分：龴女	婺
拆分：女冉	媾
拆分：女又	嫂
拆分：女心	嫕
拆分：未女	嫠
拆分：女口	嫡
拆分：女攵	嫩
拆分：女小	嫽
拆分：尸女	嬖
拆分：亡凡	嬴
拆分：乛一	子
拆分：𠂇子	存
拆分：丿子	孚
拆分：十子	孛
拆分：子攵	孜
拆分：耂子	孝
拆分：子皿	孟
拆分：𭕄子	学
拆分：亠子	孪
拆分：尸子	孱
拆分：艹子	孽
拆分：宀七	宅
拆分：宀厶	宏
拆分：宀乛	宛
拆分：宀山	密
拆分：宀又	寇
拆分：宀田	富
拆分：宀朩	寨
拆分：宀小	寮
拆分：又寸	对
拆分：土寸	寺
拆分：彐寸	寻
拆分：巳寸	导
拆分：丷寸	尊
拆分：𠂊小	尔
拆分：⺌厶	尝
拆分：一兀	尧
拆分：尸人	屣
拆分：𭕄山	峃
拆分：亠山	峦
拆分：犭山	峱
拆分：山夂	峻
拆分：山电	崦
拆分：山白	嶍
拆分：山戈	巇
拆分：𠂇工	左
拆分：工人	巫
拆分：乛乛	己
拆分：乛乛	已
拆分：乛乛	巳
拆分：艹巳	巷
拆分：巳八	巽
拆分：𠂇巾	布
拆分：彐巾	帚
拆分：白巾	帛
拆分：巾	带
拆分：广巾	席
拆分：冖巾	幂
拆分：巾田	幅
拆分：艹巾	幕
拆分：丿丨	年
拆分：广木	床
拆分：广电	庵
拆分：广攵	廒
拆分：艹一	廿
拆分：亠廾	弃
拆分：弋工	式
拆分：乂工	弑
拆分：士又	彀
拆分：丰彐	彗
拆分：彐又	彟
拆分：彳人	徙
拆分：彳攵	徼
拆分：己心	忌
拆分：弋心	忒
拆分：士心	志
拆分：忄夬	快
拆分：忄乛	忱
拆分：田心	思
拆分：厶心	怠
拆分：𠂊心	急
拆分：夕心	怨
拆分：丷心	总
拆分：亠心	恋
拆分：𦍌心	恙
拆分：自心	息
拆分：艮心	恳
拆分：忄己	恺
拆分：丿心	悉
拆分：忄巴	悒
拆分：忄子	悖
拆分：忄夂	悛
拆分：亻心	悠
拆分：忄文	悯
拆分：忄又	惙
拆分：艹心	惹
拆分：立心	意
拆分：忄皿	愠
拆分：丰心	慧
拆分：丶心	憋
拆分：忄小	憭
拆分：忄口	憺
拆分：忄目	懵
拆分：士心	懿
拆分：立心	戆
拆分：一丶	戋
拆分：十戈	戟
拆分：乛戈	戣
拆分：习戈	戮
拆分：习戈	戳
拆分：十八	戴
拆分：丶尸	户
拆分：户习	扇
拆分：户巴	扈
拆分：扌七	托
拆分：扌夬	抉
拆分：扌丶	拣
拆分：扌矢	挨
拆分：扌巴	挹
拆分：扌寸	捋
拆分：扌土	捏
拆分：扌犬	捩
拆分：扌又	掇
拆分：扌口	掊
拆分：扌缶	掏
拆分：扌臼	掐
拆分：扌电	掩
拆分：扌米	掬
拆分：扌天	揆
拆分：扌臼	插
拆分：扌耳	揖
拆分：扌寸	搏
拆分：扌田	搐
拆分：扌虫	搔
拆分：扌又	搜
拆分：扌月	搠
拆分：扌口	搭
拆分：扌十	摔
拆分：扌口	摘
拆分：扌灬	摭
拆分：扌亏	摴
拆分：扌人	撅
拆分：扌攵	撇
拆分：扌小	撩
拆分：扌车	撵
拆分：扌小	攥
拆分：扌又	攫
拆分：己攵	改
拆分：工攵	攻
拆分：方攵	放
拆分：千攵	敌
拆分：人攵	敛
拆分：艹攵	敬
拆分：亠又	敲
拆分：亠乂	文
拆分：亠方	旁
拆分：方丨	旆
拆分：匕日	旨
拆分：日文	旻
拆分：日人	昃
拆分：艹日	昔
拆分：日人	是
拆分：丷日	普
拆分：日口	晷
拆分：日又	暇
拆分：日八	暝
拆分：艹日	暮
拆分：丷日	曾
拆分：夫日	替
拆分：𠂇月	有
拆分：十月	朝
拆分：一乀	未
拆分：一乀	末
拆分：几木	朵
拆分：乂朩	杀
拆分：木口	杏
拆分：木灬	杰
拆分：木乛	枕
拆分：丨乀	果
拆分：厶木	枲
拆分：甘木	某
拆分：氵木	染
拆分：木乛	栀
拆分：十木	栽
拆分：夕木	桀
拆分：宀木	案
拆分：龹木	桊
拆分：木己	桤
拆分：木子	桲
拆分：木乛	梣
拆分：木夕	梦
拆分：木夂	梭
拆分：木巾	棉
拆分：木口	棓
拆分：木夂	棱
拆分：艹木	棻
拆分：木刀	棼
拆分：木月	椭
拆分：木人	楚
拆分：木耳	楫
拆分：木寸	榑
拆分：木十	榫
拆分：丷木	槊
拆分：木十	槔
拆分：木乃	槜
拆分：木口	橘
拆分：木人	橛
拆分：木攵	檄
拆分：木口	檐
拆分：尸木	檗
拆分：木小	檩
拆分：八人	欲
拆分：千人	歃
拆分：人人	歙
拆分：一夕	歹
拆分：歹一	殓
拆分：臼又	毁
拆分：士又	毂
拆分：丿乛	气
拆分：气皿	氲
拆分：入水	汆
拆分：氵十	汛
拆分：工水	汞
拆分：氵日	汩
拆分：氵乛	沈
拆分：氵几	沉
拆分：水日	沓
拆分：氵丨	沛
拆分：氵口	泂
拆分：白水	泉
拆分：氵厶	泓
拆分：氵乐	泺
拆分：氵乀	派
拆分：氵夂	浚
拆分：氵攵	浟
拆分：氵巴	浥
拆分：氵土	涅
拆分：氵月	涓
拆分：氵内	涡
拆分：氵口	涪
拆分：氵田	淄
拆分：氵天	淏
拆分：氵缶	淘
拆分：氵电	淹
拆分：氵电	渑
拆分：氵皿	温
拆分：氵日	湣
拆分：氵土	湮
拆分：氵皿	溘
拆分：氵口	溚
拆分：氵八	溟
拆分：氵寸	溥
拆分：氵又	溲
拆分：氵臼	滔
拆分：氵口	滴
拆分：氵氺	漆
拆分：氵雨	漏
拆分：氵口	漪
拆分：氵人	漱
拆分：氵口	潏
拆分：氵小	潦
拆分：氵子	潺
拆分：氵寸	澍
拆分：氵口	澹
拆分：氵十	澼
拆分：氵攵	激
拆分：氵又	濩
拆分：氵乀	濮
拆分：氵土	瀍
拆分：氵八	瀵
拆分：氵艹	瀹
拆分：𠂇火	灰
拆分：彐火	灵
拆分：宀火	灾
拆分：火夬	炔
拆分：厶火	炱
拆分：火丶	炼
拆分：火乐	烁
拆分：火月	焆
拆分：火口	焙
拆分：亻灬	焦
拆分：火臼	焰
拆分：丿灬	熏
拆分：火心	熜
拆分：龶灬	熬
拆分：士灬	熹
拆分：火木	燊
拆分：火小	燎
拆分：火口	燏
拆分：廿灬	燕
拆分：火又	燮
拆分：火艹	爚
拆分：八乂	父
拆分：大牛	牵
拆分：尸牛	犀
拆分：大丶	犬
拆分：犭土	狴
拆分：犭月	狷
拆分：犭夂	狻
拆分：龶犬	獒
拆分：犭人	獗
拆分：犭小	獠
拆分：犭又	玃
拆分：王丶	玉
拆分：王夬	玦
拆分：𠂊玉	玺
拆分：王月	琄
拆分：王木	琛
拆分：王巴	琶
拆分：王又	瑕
拆分：王心	璁
拆分：王攵	璈
拆分：王米	璨
拆分：王攵	璬
拆分：廿一	甘
拆分：丨乛	电
拆分：亠田	畜
拆分：人田	畲
拆分：田丿	疁
拆分：十人	疐
拆分：疒刂	瘌
拆分：疒又	瘕
拆分：疒虫	瘙
拆分：疒心	瘛
拆分：疒皿	瘟
拆分：疒又	瘦
拆分：疒口	瘩
拆分：疒十	癖
拆分：疒又	癜
拆分：丿日	白
拆分：白己	皑
拆分：白十	皞
拆分：白攵	皦
拆分：厶又	皴
拆分：𦍌皿	盖
拆分：舟皿	盘
拆分：目乛	眈
拆分：夕目	眢
拆分：龹目	眷
拆分：目牛	眸
拆分：目天	睽
拆分：龴目	瞀
拆分：目皿	瞌
拆分：目又	瞍
拆分：目八	瞑
拆分：丶目	瞥
拆分：目小	瞭
拆分：目口	瞻
拆分：目又	矍
拆分：矢口	知
拆分：丰石	砉
拆分：龙石	砻
拆分：石乐	砾
拆分：石乂	硇
拆分：石口	碚
拆分：石木	碟
拆分：王石	碧
拆分：石木	磔
拆分：石皿	磕
拆分：广石	磨
